##################################################;;;;;;;;;;;;;;x
# Interface;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
TECH_UBOAT;U-Boat;U-Boat;U-Boot;;;;;;;;;;;x
submarine_folder;U-Boat;U-Boat;U-Boot;;;;;;;;;;;x
TECH_ARMOUR2;Misc;Misc;Misc;;;;;;;;;;;x
armour2_folder;Misc;Misc;Misc;;;;;;;;;;;x
TECH_WEHRMACHT;Operations;;;;;;;;;;;;;x
wehrmacht_folder;Operations;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Uboat Tech;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
########### Danevangs Wolves ########### ;;;;;;;;;;;;;;x
submarine_coastal_systems;Coastal Design & Systems;;;;;;;;;;;;;x
submarine_coastal_systems_desc;This design is for small u-boats operating in coastal waters. Despite their limited range, they are harder to detect by ships and aircraft and due to their small size they are cheaper to build than the larger u-boats, and require less fuel. With diesel engines the type variants in this design are Type IIB, IIC, IID.;;;;;;;;;;;;;x
GER_submarine_coastal_systems_1;Type IIC;;;;;;;;;;;;;x
GER_submarine_coastal_systems_2;Type IID;;;;;;;;;;;;;x
submarine_mr_systems;Medium Range  Design & Systems;;;;;;;;;;;;;x
submarine_mr_systems_desc;Type VII U-boats were the most common type of German U-boat. The Type VII was based on earlier German submarine designs going back to the World War I Type UB III, designed through a Dutch dummy company set up by Germany in order to maintain and develop German submarine technology and to circumvent the limitations set by the Treaty of Versailles.;;;;;;;;;;;;;x
GER_submarine_mr_systems_1;Type VIIB;;;;;;;;;;;;;x
GER_submarine_mr_systems_2;Type VIIC;;;;;;;;;;;;;x
GER_submarine_mr_systems_3;Type VIIC/41;;;;;;;;;;;;;x
GER_submarine_mr_systems_4;Type VIIC/42;;;;;;;;;;;;;x
submarine_lr_systems;Long Range  Design & Systems;;;;;;;;;;;;;x
submarine_lr_systems_desc;Type IX U-boat was designed as a large ocean-going submarine for sustained operations far from the home support facilities. The extended range came at the cost of longer dive times and decreased maneuverability, which is why the smaller Type VII was produced in greater numbers and used for the bulk of operations.;;;;;;;;;;;;;x
GER_submarine_lr_systems_1;Type IXB;;;;;;;;;;;;;x
GER_submarine_lr_systems_2;Type IXC;;;;;;;;;;;;;x
GER_submarine_lr_systems_3;Type IXC/40;;;;;;;;;;;;;x
GER_submarine_lr_systems_4;Type IXD;;;;;;;;;;;;;x
refueling_submarine;Underway Refueling Submarine;;;;;;;;;;;;;x
GER_refueling_submarine_1;Type XIV Refueling U-Boat;;;;;;;;;;;;;x
refueling_submarine_desc;Refueling submarines, acting as refueling stations at sea, allow our submarines to reach more distant areas of operation, before having to return to port.;;;;;;;;;;;;;x
schnorkel;Schnorkel-design;;;;;;;;;;;;;x
schnorkel_desc;Originally of a Dutch design, the schnorkel will allow our u-boots to sail using diesel engines, while submerged. This also allows the recharging of batteries under water, all in all helping us gain the element of surprise in convoy attacking, as well as in fighting enemy war ships. The downside is that the schnorkel makes a long trail in the water making the u-boot more likely to be spotted and attacked by enemy aircraft.;;;;;;;;;;;;;x
submarine_hydrophone_equipment;Hydrophone Equipment;;;;;;;;;;;;;x
submarine_hydrophone_equipment_desc;Hydrophones consisted of two pairs of underwater microphones which listened to the sound of ships' propeller noises. By measuring the amount of time it took for sound to arrive at each of the microphones, the device could triangulate the bearing of the vessel from the U-boat.;;;;;;;;;;;;;x
